Winner;Black Score;White Score;;;;
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
AI Opponent - Easy,17,47
DQN,55,9
DQN,55,9
DQN,49,15
DQN,49,15
AI Opponent - Easy,2,62
Draw,32,32
DQN,40,24
DQN,40,24
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,30,34
AI Opponent - Easy,30,34
DQN,52,12
DQN,52,12
DQN,35,29
DQN,35,29
AI Opponent - Easy,15,49
AI Opponent - Easy,15,49
AI Opponent - Easy,0,24
DQN,36,28
AI Opponent - Easy,10,54
AI Opponent - Easy,10,54
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
Draw,32,32
Draw,32,32
AI Opponent - Easy,9,54
DQN,33,31
DQN,33,31
DQN,48,16
DQN,48,16
DQN,34,30
DQN,45,19
DQN,45,19
AI Opponent - Easy,23,41
AI Opponent - Easy,23,41
AI Opponent - Easy,17,47
AI Opponent - Easy,17,47
AI Opponent - Easy,27,37
DQN,36,28
DQN,36,28
DQN,40,24
AI Opponent - Easy,17,47
AI Opponent - Easy,17,47
AI Opponent - Easy,11,52
AI Opponent - Easy,11,52
DQN,42,22
AI Opponent - Easy,0,48
AI Opponent - Easy,0,48
AI Opponent - Easy,3,51
AI Opponent - Easy,3,51
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,4,59
DQN,42,22
DQN,42,22
DQN,39,25
DQN,39,25
AI Opponent - Easy,1,60
DQN,36,28
DQN,41,23
DQN,41,23
DQN,39,25
AI Opponent - Easy,11,53
AI Opponent - Easy,11,53
DQN,36,28
DQN,36,28
AI Opponent - Easy,7,57
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
AI Opponent - Easy,17,47
DQN,35,29
DQN,35,29
DQN,40,24
DQN,40,24
AI Opponent - Easy,27,37
AI Opponent - Easy,27,37
AI Opponent - Easy,14,50
AI Opponent - Easy,14,50
AI Opponent - Easy,6,56
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
AI Opponent - Easy,7,57
AI Opponent - Easy,7,57
AI Opponent - Easy,10,53
AI Opponent - Easy,10,53
AI Opponent - Easy,16,48
AI Opponent - Easy,16,48
DQN,42,22
DQN,42,22
AI Opponent - Easy,29,35
AI Opponent - Easy,29,35
AI Opponent - Easy,13,51
AI Opponent - Easy,13,51
AI Opponent - Easy,23,41
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
AI Opponent - Easy,17,47
AI Opponent - Easy,17,47
AI Opponent - Easy,27,37
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
Draw,32,32
AI Opponent - Easy,29,35
AI Opponent - Easy,13,51
AI Opponent - Easy,13,51
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
AI Opponent - Easy,15,49
DQN,34,30
AI Opponent - Easy,0,26
AI Opponent - Easy,0,26
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
DQN,38,26
DQN,36,28
DQN,36,28
AI Opponent - Easy,27,37
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
AI Opponent - Easy,14,50
AI Opponent - Easy,14,50
AI Opponent - Easy,13,51
AI Opponent - Easy,13,51
AI Opponent - Easy,11,53
AI Opponent - Easy,28,36
AI Opponent - Easy,16,48
AI Opponent - Easy,6,58
AI Opponent - Easy,18,46
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
AI Opponent - Easy,20,44
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
AI Opponent - Easy,11,53
AI Opponent - Easy,13,51
AI Opponent - Easy,16,48
DQN,46,18
AI Opponent - Easy,21,43
AI Opponent - Easy,9,55
AI Opponent - Easy,11,53
AI Opponent - Easy,25,39
DQN,35,29
DQN,35,29
DQN,39,25
DQN,39,25
AI Opponent - Easy,15,49
AI Opponent - Easy,18,46
AI Opponent - Easy,17,47
AI Opponent - Easy,10,54
AI Opponent - Easy,27,37
