Winner;Black Score;White Score;;;;
AI Opponent - Easy,1,35
AI Opponent - Easy,3,56
AI Opponent - Easy,23,41
AI Opponent - Easy,3,61
Draw,32,32
DQN,37,27
DQN,37,27
AI Opponent - Easy,0,32
AI Opponent - Easy,26,38
DQN,39,25
AI Opponent - Easy,31,33
AI Opponent - Easy,19,45
AI Opponent - Easy,14,50
AI Opponent - Easy,14,50
AI Opponent - Easy,18,46
AI Opponent - Easy,7,56
AI Opponent - Easy,14,50
AI Opponent - Easy,19,45
AI Opponent - Easy,19,45
AI Opponent - Easy,30,34
AI Opponent - Easy,10,54
DQN,33,31
DQN,33,31
DQN,42,22
DQN,36,28
DQN,35,29
AI Opponent - Easy,29,34
AI Opponent - Easy,29,34
AI Opponent - Easy,14,50
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
AI Opponent - Easy,27,37
AI Opponent - Easy,25,39
AI Opponent - Easy,21,43
DQN,44,20
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
DQN,34,30
DQN,34,30
DQN,36,28
DQN,36,28
AI Opponent - Easy,16,48
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
DQN,36,28
DQN,33,31
DQN,33,31
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
DQN,40,24
DQN,40,24
AI Opponent - Easy,31,33
AI Opponent - Easy,7,57
AI Opponent - Easy,19,45
AI Opponent - Easy,19,45
AI Opponent - Easy,8,56
DQN,44,20
DQN,44,20
AI Opponent - Easy,6,58
DQN,35,29
DQN,35,29
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
AI Opponent - Easy,0,20
AI Opponent - Easy,0,20
DQN,44,20
DQN,44,20
DQN,38,26
DQN,38,26
DQN,37,27
DQN,37,27
AI Opponent - Easy,0,32
AI Opponent - Easy,18,46
AI Opponent - Easy,1,45
AI Opponent - Easy,0,48
AI Opponent - Easy,30,34
AI Opponent - Easy,30,34
DQN,55,9
DQN,55,9
DQN,37,27
DQN,37,27
AI Opponent - Easy,30,34
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
AI Opponent - Easy,0,28
AI Opponent - Easy,7,56
AI Opponent - Easy,0,60
AI Opponent - Easy,3,49
AI Opponent - Easy,3,49
AI Opponent - Easy,12,52
DQN,45,19
DQN,40,24
DQN,40,24
DQN,41,23
AI Opponent - Easy,29,35
AI Opponent - Easy,17,47
DQN,39,25
DQN,39,25
DQN,33,31
AI Opponent - Easy,19,45
AI Opponent - Easy,19,45
AI Opponent - Easy,17,47
DQN,33,31
AI Opponent - Easy,15,49
AI Opponent - Easy,15,49
AI Opponent - Easy,0,32
AI Opponent - Easy,25,39
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
AI Opponent - Easy,30,34
AI Opponent - Easy,30,34
AI Opponent - Easy,1,57
AI Opponent - Easy,20,44
DQN,38,26
DQN,38,26
AI Opponent - Easy,29,35
AI Opponent - Easy,8,56
AI Opponent - Easy,8,56
AI Opponent - Easy,16,48
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
DQN,36,28
DQN,36,28
AI Opponent - Easy,31,33
AI Opponent - Easy,9,55
AI Opponent - Easy,24,40
DQN,41,23
DQN,41,23
DQN,35,29
DQN,35,29
DQN,43,21
DQN,43,21
AI Opponent - Easy,27,37
AI Opponent - Easy,5,58
DQN,44,20
DQN,44,20
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
DQN,38,26
DQN,43,21
DQN,36,28
DQN,36,28
DQN,40,24
DQN,40,24
AI Opponent - Easy,26,38
DQN,43,21
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
DQN,40,24
DQN,40,24
AI Opponent - Easy,29,35
DQN,38,26
DQN,38,26
DQN,33,31
AI Opponent - Easy,20,44
AI Opponent - Easy,24,40
AI Opponent - Easy,0,24
DQN,54,10
DQN,54,10
AI Opponent - Easy,24,40
AI Opponent - Easy,14,50
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
AI Opponent - Easy,7,56
DQN,48,16
DQN,48,16
AI Opponent - Easy,25,39
DQN,36,28
DQN,36,28
AI Opponent - Easy,11,53
AI Opponent - Easy,11,53
DQN,47,17
DQN,47,17
AI Opponent - Easy,20,44
AI Opponent - Easy,20,44
DQN,48,16
DQN,48,16
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
DQN,33,31
DQN,51,13
DQN,51,13
DQN,41,23
DQN,41,23
DQN,36,28
DQN,33,31
Draw,32,32
AI Opponent - Easy,15,49
DQN,48,16
DQN,48,16
DQN,35,29
AI Opponent - Easy,30,34
AI Opponent - Easy,30,34
DQN,41,23
DQN,41,23
DQN,57,7
DQN,57,7
DQN,39,25
DQN,39,25
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,23,41
AI Opponent - Easy,23,41
DQN,42,22
DQN,42,22
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
DQN,48,16
DQN,48,16
AI Opponent - Easy,13,51
AI Opponent - Easy,13,50
DQN,37,27
DQN,37,27
AI Opponent - Easy,27,37
DQN,44,20
DQN,39,25
DQN,44,20
DQN,40,24
AI Opponent - Easy,0,40
DQN,39,25
AI Opponent - Easy,27,37
AI Opponent - Easy,16,48
AI Opponent - Easy,16,48
AI Opponent - Easy,19,45
AI Opponent - Easy,19,45
DQN,48,16
DQN,48,16
DQN,46,18
DQN,46,18
AI Opponent - Easy,29,35
AI Opponent - Easy,29,35
DQN,34,30
DQN,34,30
DQN,44,20
AI Opponent - Easy,30,34
DQN,47,17
DQN,47,17
DQN,33,31
DQN,33,31
DQN,35,29
DQN,35,29
DQN,42,22
DQN,42,22
AI Opponent - Easy,27,37
AI Opponent - Easy,27,37
AI Opponent - Easy,14,50
