DQN2;39;25;;;;
Draw;32;32;;DQN;AI Opponent;Draw
AI Opponent - Easy;26;38;;48;49;3
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;0;28;;;;
DQN2;34;30;;;;
DQN2;37;27;;;;
DQN2;37;27;;;;
DQN2;37;27;;;;
AI Opponent - Easy;0;40;;;;
AI Opponent - Easy;0;28;;;;
DQN2;33;31;;;;
AI Opponent - Easy;23;41;;;;
DQN2;56;8;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;30;34;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;29;35;;;;
DQN2;38;26;;;;
DQN2;47;17;;;;
AI Opponent - Easy;31;33;;;;
AI Opponent - Easy;28;36;;;;
DQN2;44;20;;;;
DQN2;44;20;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;25;39;;;;
AI Opponent - Easy;7;57;;;;
Draw;32;32;;;;
DQN2;55;9;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;8;56;;;;
DQN2;48;16;;;;
DQN2;33;31;;;;
AI Opponent - Easy;30;34;;;;
AI Opponent - Easy;22;41;;;;
DQN2;37;27;;;;
AI Opponent - Easy;27;37;;;;
DQN2;40;24;;;;
DQN2;42;22;;;;
DQN2;47;17;;;;
DQN2;38;26;;;;
AI Opponent - Easy;0;24;;;;
AI Opponent - Easy;28;36;;;;
DQN2;34;30;;;;
AI Opponent - Easy;0;28;;;;
DQN2;56;8;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;2;55;;;;
AI Opponent - Easy;23;41;;;;
DQN2;51;13;;;;
DQN2;34;30;;;;
AI Opponent - Easy;0;28;;;;
DQN2;34;30;;;;
DQN2;54;10;;;;
Draw;32;32;;;;
AI Opponent - Easy;0;28;;;;
DQN2;40;24;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;14;50;;;;
DQN2;33;31;;;;
DQN2;51;13;;;;
AI Opponent - Easy;0;24;;;;
AI Opponent - Easy;0;28;;;;
DQN2;40;24;;;;
DQN2;52;12;;;;
DQN2;33;31;;;;
AI Opponent - Easy;0;32;;;;
DQN2;37;27;;;;
AI Opponent - Easy;13;51;;;;
DQN2;43;21;;;;
DQN2;37;27;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;0;26;;;;
DQN2;40;24;;;;
DQN2;48;16;;;;
AI Opponent - Easy;27;37;;;;
DQN2;41;23;;;;
AI Opponent - Easy;0;28;;;;
DQN2;43;21;;;;
DQN2;34;30;;;;
DQN2;53;11;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;0;28;;;;
DQN2;35;29;;;;
AI Opponent - Easy;0;28;;;;
DQN2;39;25;;;;
AI Opponent - Easy;0;28;;;;
DQN2;37;27;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;0;32;;;;
DQN2;47;17;;;;
AI Opponent - Easy;26;38;;;;
DQN2;36;28;;;;
AI Opponent - Easy;0;28;;;;
DQN2;36;28;;;;
DQN2;37;27;;;;
DQN2;47;17;;;;
